id_horario,id_clase,id_asignatura,es_hti,dia,periodo
1,6,177,1,Lunes,2
2,33,176,0,Lunes,8
3,33,176,0,Lunes,9
4,32,176,0,Lunes,10
5,32,176,0,Lunes,11
6,32,176,0,Martes,8
7,32,176,0,Martes,9
8,33,176,0,Miércoles,8
9,33,176,0,Jueves,10
10,33,176,0,Jueves,11
11,32,176,0,Viernes,10
12,32,175,0,Lunes,8
13,32,175,0,Lunes,9
14,33,175,0,Martes,10
15,33,175,0,Martes,11
16,33,175,0,Miércoles,7
17,32,175,0,Miércoles,8
18,32,175,0,Jueves,9
19,32,175,0,Jueves,10
20,33,175,0,Viernes,8
21,33,175,0,Viernes,9
22,18,174,1,Jueves,13
23,30,173,0,Lunes,12
24,30,173,0,Lunes,13
25,31,173,0,Martes,12
26,31,173,0,Martes,13
27,31,173,0,Jueves,13
28,31,173,0,Jueves,14
29,30,173,0,Viernes,13
30,30,173,0,Viernes,14
31,30,172,0,Lunes,10
32,31,172,0,Lunes,10
33,30,172,0,Lunes,11
34,31,172,0,Lunes,11
35,31,172,0,Miércoles,10
36,31,172,0,Miércoles,11
37,30,172,0,Viernes,9
38,30,172,0,Viernes,10
39,31,122,0,Lunes,8
40,31,122,0,Lunes,9
41,30,122,0,Martes,12
42,30,122,0,Martes,13
43,30,122,0,Miércoles,10
44,30,122,0,Miércoles,11
45,31,122,0,Jueves,11
46,31,122,0,Jueves,12
47,34,84,1,Viernes,8
48,34,84,1,Viernes,9
49,34,165,1,Viernes,11
50,34,165,1,Viernes,12
51,34,165,1,Viernes,13
52,34,159,0,Lunes,11
53,34,159,0,Lunes,12
54,33,164,0,Lunes,11
55,33,164,0,Lunes,12
56,33,164,0,Martes,8
57,33,164,0,Martes,9
58,32,164,0,Martes,10
59,32,164,0,Martes,11
60,32,164,0,Miércoles,9
61,32,164,0,Miércoles,10
62,32,164,0,Jueves,11
63,33,164,0,Viernes,10
64,31,157,0,Martes,8
65,31,157,0,Martes,9
66,30,157,0,Miércoles,12
67,30,157,0,Miércoles,13
68,31,157,0,Jueves,10
69,30,157,0,Jueves,12
70,30,157,0,Jueves,13
71,30,157,0,Viernes,8
72,31,157,0,Viernes,10
73,31,157,0,Viernes,11
74,28,156,0,Miércoles,10
75,29,156,0,Miércoles,11
76,28,156,0,Jueves,10
77,29,156,0,Jueves,10
78,28,156,0,Jueves,11
79,29,156,0,Jueves,11
80,28,121,0,Lunes,7
81,28,121,0,Martes,12
82,28,121,0,Martes,13
83,29,121,0,Miércoles,12
84,29,121,0,Miércoles,13
85,29,121,0,Jueves,12
86,29,121,0,Jueves,13
87,29,121,0,Viernes,7
88,28,121,0,Viernes,12
89,28,121,0,Viernes,13
90,29,124,0,Lunes,8
91,29,124,0,Lunes,9
92,28,124,0,Lunes,12
93,28,124,0,Martes,10
94,28,124,0,Martes,11
95,29,124,0,Jueves,8
96,29,124,0,Jueves,9
97,28,124,0,Viernes,10
98,28,124,0,Viernes,11
99,29,124,0,Viernes,12
100,28,62,0,Lunes,8
101,28,62,0,Lunes,9
102,29,62,0,Martes,10
103,29,62,0,Martes,11
104,28,62,0,Jueves,8
105,28,62,0,Jueves,9
106,29,62,0,Viernes,8
107,29,62,0,Viernes,9
108,28,152,0,Lunes,10
109,28,152,0,Lunes,11
110,29,152,0,Lunes,12
111,29,152,0,Lunes,13
112,29,152,0,Martes,8
113,29,152,0,Martes,9
114,28,152,0,Miércoles,8
115,28,152,0,Miércoles,9
116,29,151,0,Lunes,10
117,29,151,0,Lunes,11
118,28,151,0,Martes,8
119,28,151,0,Martes,9
120,29,151,0,Martes,12
121,29,151,0,Martes,13
122,28,151,0,Miércoles,12
123,28,151,0,Miércoles,13
124,26,150,0,Lunes,3
125,26,150,0,Lunes,4
126,27,150,0,Martes,8
127,27,150,0,Miércoles,4
128,27,150,0,Miércoles,5
129,26,150,0,Viernes,3
130,27,149,0,Miércoles,6
131,27,149,0,Miércoles,7
132,26,149,0,Viernes,6
133,26,149,0,Viernes,7
134,27,148,0,Lunes,3
135,27,148,0,Lunes,4
136,27,148,0,Martes,5
137,27,148,0,Martes,6
138,26,148,0,Miércoles,6
139,26,148,0,Miércoles,7
140,26,148,0,Jueves,4
141,26,148,0,Jueves,5
142,27,148,0,Jueves,6
143,27,148,0,Jueves,7
144,26,148,0,Viernes,4
145,26,148,0,Viernes,5
146,27,147,0,Lunes,5
147,27,147,0,Lunes,6
148,26,147,0,Lunes,7
149,26,147,0,Lunes,8
150,26,147,0,Martes,5
151,26,147,0,Martes,6
152,27,147,0,Jueves,4
153,27,147,0,Jueves,5
154,26,147,0,Jueves,6
155,26,147,0,Jueves,7
156,27,147,0,Viernes,5
157,27,147,0,Viernes,6
158,1,143,0,Lunes,4
159,2,143,0,Lunes,7
160,3,143,0,Martes,3
161,4,143,0,Martes,7
162,6,143,0,Miércoles,4
163,26,143,0,Miércoles,8
164,27,143,0,Jueves,3
165,5,143,0,Jueves,6
166,24,106,0,Lunes,3
167,24,106,0,Lunes,4
168,34,106,0,Lunes,9
169,34,106,0,Lunes,10
170,25,106,0,Miércoles,4
171,25,106,0,Miércoles,5
172,24,140,0,Lunes,6
173,24,140,0,Lunes,7
174,25,140,0,Martes,2
175,25,140,0,Martes,3
176,25,140,0,Miércoles,3
177,24,140,0,Jueves,7
178,34,106,1,Martes,6
179,34,106,1,Martes,7
180,25,106,1,Miércoles,6
181,24,106,1,Viernes,3
182,34,106,1,Viernes,10
183,24,138,0,Lunes,1
184,24,138,0,Lunes,2
185,25,138,0,Lunes,3
186,25,138,0,Lunes,4
187,24,138,0,Martes,3
188,25,138,0,Jueves,2
189,25,137,0,Lunes,1
190,25,137,0,Lunes,2
191,24,137,0,Martes,1
192,24,137,0,Martes,2
193,25,137,0,Miércoles,1
194,25,137,0,Miércoles,2
195,24,137,0,Jueves,1
196,24,137,0,Jueves,2
197,24,140,1,Martes,8
198,25,140,1,Jueves,7
199,24,138,1,Lunes,5
200,25,138,1,Jueves,1
201,24,137,1,Viernes,1
202,25,137,1,Viernes,2
203,19,133,1,Lunes,1
204,20,133,1,Martes,1
205,20,132,1,Miércoles,1
206,19,132,1,Viernes,1
207,19,130,1,Miércoles,8
208,20,130,1,Jueves,8
209,20,129,1,Jueves,1
210,19,129,1,Jueves,3
211,19,128,1,Martes,5
212,20,128,1,Miércoles,8
213,15,127,1,Lunes,7
214,14,127,1,Jueves,12
215,13,127,1,Viernes,13
216,14,126,1,Martes,7
217,13,126,1,Miércoles,7
218,15,126,1,Jueves,7
219,15,125,1,Martes,14
220,13,125,1,Miércoles,14
221,14,125,1,Jueves,13
222,14,124,1,Lunes,7
223,15,124,1,Jueves,12
224,13,124,1,Jueves,13
225,13,123,1,Lunes,7
226,15,123,1,Martes,7
227,14,123,1,Miércoles,7
228,13,122,1,Martes,8
229,15,122,1,Viernes,7
230,14,122,1,Viernes,9
231,8,121,1,Miércoles,1
232,9,121,1,Jueves,2
233,7,121,1,Jueves,9
234,7,120,1,Martes,9
235,8,120,1,Miércoles,4
236,9,120,1,Viernes,7
237,8,119,1,Lunes,10
238,9,119,1,Miércoles,10
239,7,119,1,Viernes,9
240,8,118,1,Lunes,1
241,7,118,1,Lunes,8
242,9,118,1,Martes,7
243,3,117,1,Lunes,1
244,2,117,1,Viernes,1
245,1,117,1,Viernes,2
246,1,116,1,Lunes,7
247,2,116,1,Martes,6
248,3,116,1,Miércoles,1
249,2,115,1,Martes,8
250,3,115,1,Miércoles,6
251,1,115,1,Jueves,2
252,2,114,1,Miércoles,7
253,3,114,1,Jueves,6
254,1,114,1,Jueves,7
255,23,98,1,Martes,3
256,23,111,1,Martes,9
257,23,111,1,Jueves,8
258,23,110,1,Lunes,2
259,23,102,1,Jueves,3
260,23,108,1,Lunes,9
261,23,107,1,Viernes,3
262,23,106,1,Viernes,2
263,21,105,1,Martes,8
264,22,105,1,Jueves,5
265,21,104,1,Jueves,2
266,22,104,1,Viernes,1
267,22,103,1,Martes,8
268,21,103,1,Miércoles,8
269,21,101,1,Jueves,1
270,22,101,1,Viernes,2
271,21,100,1,Miércoles,1
272,22,100,1,Miércoles,2
273,21,99,1,Miércoles,7
274,22,99,1,Viernes,7
275,15,98,1,Lunes,13
276,17,98,1,Martes,1
277,18,98,1,Martes,7
278,16,98,1,Jueves,2
279,14,98,1,Jueves,7
280,13,98,1,Viernes,12
281,17,97,1,Jueves,8
282,16,97,1,Viernes,9
283,17,96,1,Lunes,7
284,16,96,1,Miércoles,7
285,16,95,1,Viernes,4
286,17,95,1,Viernes,9
287,17,94,1,Jueves,7
288,16,94,1,Viernes,3
289,16,93,1,Martes,4
290,17,93,1,Viernes,4
291,17,92,1,Lunes,8
292,16,92,1,Jueves,9
293,10,84,1,Lunes,8
294,9,84,1,Martes,5
295,12,84,1,Martes,8
296,11,84,1,Jueves,6
297,7,84,1,Viernes,2
298,8,84,1,Viernes,6
299,11,90,1,Lunes,1
300,10,90,1,Jueves,1
301,10,169,1,Martes,7
302,11,169,1,Jueves,8
303,11,88,1,Martes,9
304,10,88,1,Jueves,2
305,10,87,1,Martes,2
306,11,87,1,Viernes,1
307,9,86,1,Lunes,6
308,7,86,1,Miércoles,5
309,8,86,1,Miércoles,7
310,11,86,1,Jueves,7
311,10,86,1,Viernes,3
312,10,85,1,Martes,4
313,9,85,1,Martes,6
314,8,85,1,Jueves,5
315,7,85,1,Viernes,3
316,11,85,1,Viernes,7
317,1,84,1,Lunes,2
318,4,84,1,Lunes,9
319,5,84,1,Miércoles,7
320,3,84,1,Miércoles,8
321,2,84,1,Jueves,3
322,6,84,1,Viernes,8
323,5,83,1,Martes,2
324,4,83,1,Jueves,2
325,4,114,1,Jueves,1
326,5,114,1,Viernes,7
327,5,81,1,Martes,7
328,4,81,1,Jueves,7
329,4,80,1,Miércoles,2
330,5,80,1,Jueves,1
331,5,79,1,Miércoles,8
332,4,79,1,Viernes,4
333,5,78,1,Lunes,1
334,2,78,1,Martes,9
335,1,78,1,Miércoles,8
336,3,78,1,Viernes,2
337,4,78,1,Viernes,2
338,6,77,0,Martes,3
339,27,77,0,Martes,7
340,31,77,0,Martes,10
341,30,77,0,Martes,11
342,18,77,0,Miércoles,9
343,29,77,0,Miércoles,10
344,28,77,0,Miércoles,11
345,12,77,0,Jueves,3
346,26,77,0,Jueves,8
347,23,111,0,Lunes,5
348,23,111,0,Lunes,6
349,23,111,0,Miércoles,7
350,23,111,0,Miércoles,8
351,23,111,0,Miércoles,5
352,23,111,0,Miércoles,6
353,23,111,0,Viernes,6
354,23,111,0,Viernes,7
355,23,110,0,Martes,5
356,23,110,0,Martes,6
357,23,110,0,Jueves,4
358,23,110,0,Jueves,5
359,23,102,0,Lunes,3
360,23,102,0,Lunes,4
361,23,102,0,Miércoles,3
362,23,102,0,Miércoles,4
363,23,108,0,Lunes,7
364,23,108,0,Lunes,8
365,23,108,0,Jueves,6
366,23,108,0,Jueves,7
367,23,107,0,Martes,7
368,23,107,0,Martes,8
369,23,107,0,Viernes,8
370,23,107,0,Viernes,9
371,33,106,0,Lunes,10
372,32,106,0,Lunes,12
373,32,106,0,Lunes,13
374,32,106,0,Martes,12
375,32,106,0,Martes,13
376,33,106,0,Miércoles,9
377,33,106,0,Miércoles,10
378,23,106,0,Jueves,1
379,23,106,0,Jueves,2
380,33,106,0,Jueves,8
381,33,106,0,Jueves,9
382,32,106,0,Viernes,9
383,18,69,0,Jueves,7
384,18,69,0,Jueves,8
385,18,69,0,Viernes,9
386,18,69,0,Viernes,10
387,18,68,0,Lunes,7
388,18,68,0,Lunes,8
389,18,68,0,Miércoles,7
390,18,68,0,Miércoles,8
